Codigo_Piloto,Aerolinea,Origen,Destino,Minutos_de_retraso,OnTime,Piloto
43557,7,FLL,SAP,0,A,Jilles Vlank
43558,8,TEG,HAJ,60,C,Jorge Mej�a
43559,10,HAJ,HHN,20,A,David Colindres
43568,7,HHN,SAP,20,A,Filg Gills
43569,3,FLL,TEG,10,A,Hung Cho
43570,6,TEG,HAJ,0,A,Filen Filg
43571,2,HAJ,HHN,-10,A,Arthur Maxwell
43572,2,HHN,SAP,-20,A,Carlos Miranda
43573,5,SAP,MIA,-20,A,Denis Tercero
43556,2,MIA,FLL,-50,A,John Max
43557,1,FLL,SAP,-20,A,Jilles Vlank
43558,6,SAP,MIA,0,A,Jorge Mej�a
43559,3,MIA,FLL,0,A,David Colindres
43571,1,FLL,TEG,40,B,Arthur Maxwell
43572,6,TEG,HAJ,-20,A,Carlos Miranda
43573,8,HAJ,MIA,0,A,Denis Tercero
43574,5,MIA,FLL,-90,A,David German
43575,3,FLL,SAP,40,B,Charles Moll
43576,10,TEG,SAP,30,A,Joe Hulson
43577,10,HAJ,SAP,0,A,Miriam Willson
43578,5,HHN,HAJ,-10,A,Marie Malful
43579,9,SAP,HHN,-30,A,Jonh Pierson
43580,10,TEG,SAP,-50,A,Peter Mariner
43581,2,HAJ,TEG,40,B,Homer Williamns
43582,1,HHN,HAJ,0,A,Jessica Bulnes
43558,8,SAP,HHN,-20,A,Jorge Mej�a
43559,8,MIA,SAP,20,A,David Colindres
43571,5,FLL,MIA,50,B,Arthur Maxwell
43572,7,SAP,FLL,50,B,Carlos Miranda
43573,1,MIA,SAP,-30,A,Denis Tercero
43574,8,FLL,MIA,-50,A,David German
43575,3,TEG,FLL,0,A,Charles Moll
43576,5,HAJ,TEG,10,A,Joe Hulson
43577,5,MIA,HAJ,10,A,Miriam Willson
43578,9,FLL,MIA,40,B,Marie Malful
43579,1,SAP,FLL,-40,A,Jonh Pierson
43572,7,SAP,HAJ,50,B,Carlos Miranda
43573,9,SAP,HHN,0,A,Denis Tercero
43575,3,SAP,TEG,30,A,Charles Moll
43576,10,SAP,HAJ,-10,A,Joe Hulson
43577,5,SAP,MIA,-30,A,Miriam Willson
43578,3,SAP,FLL,0,A,Marie Malful
43579,2,HAJ,SAP,10,A,Jonh Pierson
43558,10,HHN,SAP,30,A,Jorge Mej�a
43571,10,TEG,HAJ,-20,A,Arthur Maxwell
43572,3,HAJ,HHN,-30,A,Carlos Miranda
43573,7,HHN,SAP,0,A,Denis Tercero
43574,1,SAP,TEG,10,A,David German
43575,7,MIA,HAJ,-60,A,Charles Moll
43576,9,FLL,HHN,20,A,Joe Hulson
43558,3,TEG,SAP,-40,A,Jorge Mej�a
43559,3,HAJ,MIA,10,A,David Colindres
43571,1,MIA,FLL,-20,A,Arthur Maxwell
43572,5,FLL,TEG,40,B,Carlos Miranda
43573,7,SAP,HAJ,50,B,Denis Tercero
43574,1,SAP,MIA,-30,A,David German
43575,9,SAP,FLL,10,A,Charles Moll
43576,5,HAJ,SAP,30,A,Joe Hulson
43577,6,HHN,SAP,-10,A,Miriam Willson
43579,4,TEG,HAJ,-10,A,Jonh Pierson
43558,3,HAJ,HHN,40,B,Jorge Mej�a
43559,4,HHN,SAP,20,A,David Colindres
43571,8,SAP,TEG,-20,A,Arthur Maxwell
43572,6,MIA,HAJ,70,C,Carlos Miranda
43573,7,FLL,HHN,0,A,Denis Tercero
43577,2,TEG,SAP,10,A,Miriam Willson
43578,7,HAJ,MIA,-60,A,Marie Malful
43579,1,MIA,FLL,-30,A,Jonh Pierson
43558,6,FLL,TEG,-60,A,Jorge Mej�a
43559,3,SAP,HAJ,0,A,David Colindres
43571,3,SAP,MIA,0,A,Arthur Maxwell
43572,6,SAP,FLL,-70,A,Carlos Miranda
43573,10,HAJ,SAP,80,C,Denis Tercero
43574,1,HHN,SAP,30,A,David German
43576,8,TEG,HAJ,-20,A,Joe Hulson
43577,2,HAJ,HHN,20,A,Miriam Willson
43578,6,HHN,SAP,10,A,Marie Malful
43579,8,SAP,TEG,70,C,Jonh Pierson
43558,9,MIA,HAJ,0,A,Jorge Mej�a
43559,7,FLL,MIA,10,A,David Colindres
43571,3,SAP,FLL,10,A,Arthur Maxwell
43572,8,MIA,SAP,-10,A,Carlos Miranda
43573,5,FLL,SAP,50,B,Denis Tercero
43574,8,TEG,SAP,80,C,David German
43576,7,MIA,HHN,-40,A,Joe Hulson
43577,9,FLL,SAP,0,A,Miriam Willson
43578,4,SAP,TEG,0,A,Marie Malful
43579,7,SAP,HAJ,-70,A,Jonh Pierson
43558,5,SAP,HHN,50,B,Jorge Mej�a
43559,1,HAJ,SAP,-50,A,David Colindres
43571,9,HHN,MIA,20,A,Arthur Maxwell
43572,10,SAP,FLL,-30,A,Carlos Miranda
43573,10,TEG,SAP,0,A,Denis Tercero
43574,3,HAJ,MIA,-40,A,David German
43575,10,HHN,FLL,30,A,Charles Moll
43576,6,SAP,TEG,-50,A,Joe Hulson
43577,10,MIA,HAJ,-20,A,Miriam Willson
43578,3,FLL,MIA,-30,A,Marie Malful
43579,1,SAP,FLL,-30,A,Jonh Pierson
43558,2,MIA,SAP,0,A,Jorge Mej�a
43559,8,FLL,SAP,0,A,David Colindres
43571,3,TEG,SAP,20,A,Arthur Maxwell
43573,10,MIA,HHN,-40,A,Denis Tercero
43574,2,FLL,SAP,-60,A,David German
43575,4,SAP,TEG,-20,A,Charles Moll
43576,1,SAP,HAJ,0,A,Joe Hulson
43577,5,SAP,HHN,0,A,Miriam Willson
43578,1,HAJ,SAP,10,A,Marie Malful
43579,9,HHN,MIA,20,A,Jonh Pierson
43558,8,SAP,FLL,30,A,Jorge Mej�a
43559,8,TEG,SAP,30,A,David Colindres
43571,1,HAJ,MIA,-60,A,Arthur Maxwell
43572,8,HHN,FLL,40,B,Carlos Miranda
43573,8,SAP,TEG,0,A,Denis Tercero
43574,8,MIA,HAJ,0,A,David German
43575,10,FLL,MIA,-30,A,Charles Moll
43576,5,SAP,FLL,-40,A,Joe Hulson
43577,3,MIA,SAP,50,B,Miriam Willson
43578,4,FLL,SAP,10,A,Marie Malful
43579,4,TEG,SAP,-10,A,Jonh Pierson
43578,8,MIA,HHN,20,A,Marie Malful
43579,7,FLL,SAP,20,A,Jonh Pierson
43558,10,SAP,TEG,50,B,Jorge Mej�a
43559,1,SAP,HAJ,20,A,David Colindres
43571,10,SAP,MIA,80,C,Arthur Maxwell
43572,10,HAJ,FLL,-50,A,Carlos Miranda
43573,3,HHN,SAP,-30,A,Denis Tercero
43578,2,TEG,SAP,0,A,Marie Malful
43571,9,MIA,TEG,10,A,Arthur Maxwell
43572,9,FLL,HAJ,0,A,Carlos Miranda
43573,1,SAP,HHN,60,C,Denis Tercero
43577,7,MIA,SAP,-30,A,Miriam Willson
43578,6,FLL,MIA,0,A,Marie Malful
43579,9,TEG,FLL,0,A,Jonh Pierson
43558,2,HAJ,SAP,0,A,Jorge Mej�a
43572,5,SAP,TEG,30,A,Carlos Miranda
43573,8,SAP,HAJ,-30,A,Denis Tercero
43577,4,SAP,MIA,-40,A,Miriam Willson
43578,3,HAJ,FLL,0,A,Marie Malful
43579,8,HHN,SAP,-50,A,Jonh Pierson
43559,1,TEG,SAP,20,A,David Colindres
43577,3,MIA,TEG,-10,A,Miriam Willson
43578,4,FLL,HAJ,0,A,Marie Malful
43579,9,SAP,HHN,20,A,Jonh Pierson
43558,8,MIA,SAP,20,A,Jorge Mej�a
43559,4,FLL,MIA,10,A,David Colindres
43571,4,SAP,FLL,-50,A,Arthur Maxwell
43572,1,MIA,SAP,0,A,Carlos Miranda
43573,7,FLL,MIA,50,B,Denis Tercero
43577,10,TEG,FLL,-20,A,Miriam Willson
43578,6,HAJ,TEG,0,A,Marie Malful
43579,2,HHN,HAJ,30,A,Jonh Pierson
43558,10,SAP,MIA,-10,A,Jorge Mej�a
43559,2,MIA,FLL,-20,A,David Colindres
43571,5,FLL,SAP,0,A,Arthur Maxwell
43572,6,TEG,SAP,20,A,Carlos Miranda
43573,6,HAJ,SAP,0,A,Denis Tercero
43577,3,HHN,HAJ,10,A,Miriam Willson
43578,9,FLL,HHN,-50,A,Marie Malful
43579,10,TEG,SAP,40,B,Jonh Pierson
43558,3,HAJ,TEG,50,B,Jorge Mej�a
43559,8,HHN,HAJ,-70,A,David Colindres
43571,8,SAP,MIA,0,A,Arthur Maxwell
43572,10,MIA,FLL,-30,A,Carlos Miranda
43573,6,FLL,SAP,30,A,Denis Tercero
43578,10,MIA,SAP,60,C,Marie Malful
43579,5,FLL,HAJ,30,A,Jonh Pierson
43558,6,TEG,HHN,40,B,Jorge Mej�a
43559,5,HAJ,SAP,-20,A,David Colindres
43571,9,HHN,TEG,10,A,Arthur Maxwell
43572,7,SAP,HAJ,-50,A,Carlos Miranda
43573,3,HAJ,HHN,0,A,Denis Tercero
43574,2,HHN,SAP,-30,A,David German
43575,4,SAP,MIA,0,A,Charles Moll
43576,9,MIA,FLL,-20,A,Joe Hulson
43577,6,FLL,SAP,-30,A,Miriam Willson
43578,10,TEG,MIA,70,C,Marie Malful
43579,9,HAJ,FLL,30,A,Jonh Pierson
43580,3,HHN,TEG,0,A,Peter Mariner
43581,8,FLL,HAJ,20,A,Homer Williamns
43582,7,TEG,MIA,-60,A,Jessica Bulnes
43583,10,HAJ,FLL,-10,A,Maria Guills
43584,2,HHN,SAP,50,B,Juan P�rez
43577,3,MIA,SAP,10,A,Miriam Willson
43578,5,FLL,HAJ,0,A,Marie Malful
43579,2,SAP,HHN,-80,A,Jonh Pierson
43580,5,MIA,SAP,20,A,Peter Mariner
43581,10,FLL,TEG,20,A,Homer Williamns
43576,4,TEG,HAJ,70,C,Joe Hulson
43577,5,HAJ,HHN,30,A,Miriam Willson
43578,9,MIA,SAP,40,B,Marie Malful
43579,6,FLL,MIA,40,B,Jonh Pierson
43580,3,TEG,FLL,-40,A,Peter Mariner
43581,2,HAJ,SAP,10,A,Homer Williamns
43576,6,HHN,MIA,-40,A,Joe Hulson
43577,4,SAP,FLL,40,B,Miriam Willson
43578,1,MIA,TEG,-90,A,Marie Malful
43579,3,FLL,HAJ,10,A,Jonh Pierson
43580,10,TEG,MIA,10,A,Peter Mariner
43581,8,HAJ,FLL,90,C,Homer Williamns
43576,5,HHN,SAP,-10,A,Joe Hulson
43577,2,FLL,SAP,50,B,Miriam Willson
43578,1,TEG,SAP,-10,A,Marie Malful
43576,10,MIA,TEG,-70,A,Joe Hulson
43577,3,FLL,HAJ,50,B,Miriam Willson
43578,8,SAP,MIA,-40,A,Marie Malful
43579,3,MIA,FLL,-70,A,Jonh Pierson
43580,7,FLL,SAP,0,A,Peter Mariner
43581,5,TEG,SAP,-50,A,Homer Williamns
43576,5,HAJ,SAP,0,A,Joe Hulson
43577,9,MIA,HAJ,-30,A,Miriam Willson
43578,2,FLL,HHN,-50,A,Marie Malful
43579,9,TEG,SAP,-10,A,Jonh Pierson
43580,5,HAJ,TEG,10,A,Peter Mariner
43581,3,HHN,HAJ,30,A,Homer Williamns
43576,6,SAP,HHN,20,A,Joe Hulson
43577,3,TEG,SAP,-60,A,Miriam Willson
43578,9,HAJ,MIA,70,C,Marie Malful
43579,4,HHN,FLL,-80,A,Jonh Pierson
43577,1,SAP,TEG,-30,A,Miriam Willson
43578,4,MIA,HAJ,30,A,Marie Malful
43579,6,FLL,MIA,0,A,Jonh Pierson
43580,7,TEG,FLL,10,A,Peter Mariner
43581,6,HAJ,SAP,0,A,Homer Williamns
43576,7,MIA,SAP,20,A,Joe Hulson
43577,5,FLL,SAP,80,C,Miriam Willson
43578,4,SAP,HAJ,-40,A,Marie Malful
43579,5,SAP,HHN,-50,A,Jonh Pierson
43581,1,SAP,TEG,20,A,Homer Williamns
43579,3,SAP,HAJ,10,A,Jonh Pierson
43580,5,SAP,HHN,-10,A,Peter Mariner
43576,6,SAP,MIA,-40,A,Joe Hulson
43577,10,SAP,FLL,-50,A,Miriam Willson
43579,9,SAP,MIA,50,B,Jonh Pierson
43580,7,HAJ,FLL,-40,A,Peter Mariner
43581,5,HHN,TEG,-10,A,Homer Williamns
43576,9,SAP,HAJ,-20,A,Joe Hulson
43579,10,TEG,MIA,0,A,Jonh Pierson
43580,3,HAJ,FLL,10,A,Peter Mariner
43581,4,HHN,SAP,60,C,Homer Williamns
43577,2,MIA,SAP,30,A,Miriam Willson
43578,4,FLL,HAJ,-10,A,Marie Malful
43579,1,SAP,HHN,-10,A,Jonh Pierson
43580,7,MIA,SAP,-40,A,Peter Mariner
43581,2,FLL,TEG,40,B,Homer Williamns
43576,1,TEG,HAJ,30,A,Joe Hulson
43579,9,HAJ,MIA,0,A,Jonh Pierson
43580,4,MIA,FLL,-20,A,Peter Mariner
43581,9,FLL,SAP,0,A,Homer Williamns
43578,10,SAP,HAJ,-30,A,Marie Malful
43579,10,HAJ,HHN,50,B,Jonh Pierson
43580,4,HHN,SAP,80,C,Peter Mariner
43581,10,SAP,TEG,-20,A,Homer Williamns
43576,8,TEG,HAJ,20,A,Joe Hulson
43579,4,HAJ,HHN,30,A,Jonh Pierson
43580,6,HHN,SAP,-80,A,Peter Mariner
43581,10,SAP,MIA,0,A,Homer Williamns
43576,1,MIA,FLL,10,A,Joe Hulson
43577,1,FLL,SAP,0,A,Miriam Willson
43578,3,SAP,MIA,-60,A,Marie Malful
43579,7,MIA,FLL,-60,A,Jonh Pierson
43580,10,FLL,TEG,0,A,Peter Mariner
43581,7,TEG,HAJ,20,A,Homer Williamns
43576,10,HAJ,MIA,-10,A,Joe Hulson
43579,2,MIA,FLL,-10,A,Jonh Pierson
43580,6,FLL,SAP,30,A,Peter Mariner
43577,1,SAP,HAJ,40,B,Miriam Willson
43578,9,HAJ,HHN,-20,A,Marie Malful
43579,7,HHN,SAP,40,B,Jonh Pierson
43580,5,SAP,TEG,-20,A,Peter Mariner
43581,2,TEG,HAJ,30,A,Homer Williamns
43576,1,HAJ,HHN,20,A,Joe Hulson
43579,5,HHN,SAP,-40,A,Jonh Pierson
43580,9,SAP,MIA,30,A,Peter Mariner
43581,5,MIA,FLL,-20,A,Homer Williamns
43576,2,FLL,SAP,-20,A,Joe Hulson
43577,9,SAP,MIA,-20,A,Miriam Willson
43578,7,MIA,FLL,70,C,Marie Malful
43579,3,FLL,TEG,-10,A,Jonh Pierson
43580,6,TEG,HAJ,30,A,Peter Mariner
43581,5,HAJ,MIA,-50,A,Homer Williamns
43576,5,MIA,FLL,-50,A,Joe Hulson
43579,2,FLL,SAP,20,A,Jonh Pierson
43576,6,SAP,HAJ,-70,A,Joe Hulson
43577,3,HAJ,HHN,10,A,Miriam Willson
43578,9,HHN,SAP,0,A,Marie Malful
43579,3,SAP,TEG,-10,A,Jonh Pierson
43580,7,TEG,HAJ,50,B,Peter Mariner
43581,9,HAJ,MIA,0,A,Homer Williamns
43576,9,HHN,FLL,40,B,Joe Hulson
43580,8,MIA,SAP,30,A,Peter Mariner
43581,9,FLL,SAP,-20,A,Homer Williamns
43576,1,SAP,HAJ,-10,A,Joe Hulson
43577,4,MIA,HHN,-60,A,Miriam Willson
43578,7,FLL,SAP,-40,A,Marie Malful
43581,9,MIA,HHN,0,A,Homer Williamns
43576,8,FLL,SAP,40,B,Joe Hulson
43579,6,SAP,MIA,-40,A,Jonh Pierson
43580,9,SAP,FLL,0,A,Peter Mariner
43576,9,HAJ,MIA,0,A,Joe Hulson
43577,3,HHN,FLL,-10,A,Miriam Willson
43578,9,SAP,TEG,-20,A,Marie Malful
43579,6,TEG,HAJ,-60,A,Jonh Pierson
43580,10,HAJ,MIA,60,C,Peter Mariner
43581,4,HHN,FLL,30,A,Homer Williamns
43579,10,MIA,SAP,-10,A,Jonh Pierson
43580,6,FLL,SAP,-30,A,Peter Mariner
43581,8,SAP,HAJ,20,A,Homer Williamns
43576,2,MIA,HHN,0,A,Joe Hulson
43577,5,FLL,SAP,0,A,Miriam Willson
43580,2,MIA,HHN,-40,A,Peter Mariner
43581,6,FLL,SAP,0,A,Homer Williamns
43576,7,SAP,MIA,-20,A,Joe Hulson
43578,1,SAP,FLL,0,A,Marie Malful
43580,9,HAJ,MIA,20,A,Peter Mariner
43581,8,HHN,FLL,10,A,Homer Williamns
43576,8,SAP,TEG,30,A,Joe Hulson
43579,2,TEG,HAJ,20,A,Jonh Pierson
43580,6,HAJ,MIA,-10,A,Peter Mariner
43581,3,HHN,FLL,-50,A,Homer Williamns
43579,6,MIA,SAP,-40,A,Jonh Pierson
43580,5,FLL,SAP,-50,A,Peter Mariner
43581,1,SAP,HAJ,-40,A,Homer Williamns
43576,5,MIA,HHN,50,B,Joe Hulson
43579,1,FLL,SAP,40,B,Jonh Pierson
43579,10,SAP,FLL,80,C,Jonh Pierson
43580,2,MIA,SAP,0,A,Peter Mariner
43581,7,FLL,SAP,30,A,Homer Williamns
43576,9,TEG,SAP,-10,A,Joe Hulson
43578,3,MIA,TEG,-20,A,Marie Malful
43579,2,FLL,HAJ,90,C,Jonh Pierson
43580,5,TEG,HHN,-10,A,Peter Mariner
43581,8,HAJ,SAP,-80,A,Homer Williamns
43576,1,HHN,MIA,40,B,Joe Hulson
43580,4,TEG,SAP,40,B,Peter Mariner
43581,8,HAJ,MIA,-60,A,Homer Williamns
43578,7,HHN,FLL,-80,A,Marie Malful
43579,9,SAP,TEG,-30,A,Jonh Pierson
43580,8,MIA,HAJ,60,C,Peter Mariner
43581,1,FLL,MIA,10,A,Homer Williamns
43576,9,SAP,FLL,-50,A,Joe Hulson
43579,10,MIA,SAP,-10,A,Jonh Pierson
43580,1,FLL,SAP,-50,A,Peter Mariner
43581,1,TEG,SAP,-10,A,Homer Williamns
43581,3,HAJ,TEG,40,B,Homer Williamns
43576,1,HHN,HAJ,-30,A,Joe Hulson
43579,3,SAP,HHN,0,A,Jonh Pierson
43580,4,MIA,SAP,70,C,Peter Mariner
43581,1,FLL,MIA,-10,A,Homer Williamns
43578,1,TEG,FLL,0,A,Marie Malful
43579,6,HAJ,SAP,-10,A,Jonh Pierson
43580,1,HHN,MIA,-20,A,Peter Mariner
43580,9,HHN,MIA,50,B,Peter Mariner
43581,10,SAP,FLL,10,A,Homer Williamns
43578,4,MIA,SAP,70,C,Marie Malful
43579,5,FLL,SAP,-50,A,Jonh Pierson
43581,5,MIA,HAJ,-50,A,Homer Williamns
43576,8,FLL,HHN,-30,A,Joe Hulson
43579,6,TEG,SAP,-50,A,Jonh Pierson
43580,6,HAJ,TEG,-50,A,Peter Mariner
43581,3,MIA,HAJ,0,A,Homer Williamns
43578,3,FLL,MIA,-40,A,Marie Malful
43579,8,TEG,FLL,0,A,Jonh Pierson
43580,2,HAJ,SAP,30,A,Peter Mariner
43581,1,HHN,SAP,10,A,Homer Williamns
43579,3,MIA,HAJ,0,A,Jonh Pierson
43580,1,FLL,HHN,10,A,Peter Mariner
43581,5,TEG,SAP,10,A,Homer Williamns
43578,9,HAJ,TEG,10,A,Marie Malful
43579,6,HHN,HAJ,30,A,Jonh Pierson
43580,3,FLL,HHN,20,A,Peter Mariner
43581,5,TEG,SAP,0,A,Homer Williamns
43576,1,HAJ,MIA,10,A,Joe Hulson
43579,1,HHN,FLL,-10,A,Jonh Pierson
43557,5,SAP,TEG,-50,A,Jilles Vlank
43558,7,MIA,HAJ,30,A,Jorge Mej�a
43559,1,FLL,MIA,20,A,David Colindres
43560,7,TEG,FLL,-30,A,Maximilian Call
43561,5,HAJ,SAP,-10,A,Muilin Mills
43562,7,MIA,SAP,-10,A,Gianni Falk
43563,3,FLL,SAP,10,A,Hous Hih
43564,6,TEG,HAJ,10,A,Cho Ming
43565,2,HAJ,HHN,-20,A,Chao Ma
43566,6,HHN,SAP,50,B,Jos� Perez
43567,6,SAP,TEG,20,A,Davie Mixal
43568,5,TEG,HAJ,60,C,Filg Gills
43556,9,HAJ,HHN,0,A,John Max
43557,2,HHN,SAP,30,A,Jilles Vlank
43558,3,SAP,MIA,50,B,Jorge Mej�a
43559,7,MIA,FLL,-20,A,David Colindres
43560,5,FLL,SAP,40,B,Maximilian Call
43561,6,SAP,MIA,-70,A,Muilin Mills
43562,7,MIA,FLL,60,C,Gianni Falk
43563,3,FLL,TEG,-10,A,Hous Hih
43564,10,TEG,HAJ,-20,A,Cho Ming
43565,8,HAJ,MIA,70,C,Chao Ma
43566,8,MIA,FLL,10,A,Jos� Perez
43567,10,FLL,SAP,20,A,Davie Mixal
43581,7,SAP,HAJ,20,A,Homer Williamns
43576,7,SAP,HHN,50,B,Joe Hulson
43580,9,SAP,TEG,10,A,Peter Mariner
43581,8,SAP,HAJ,0,A,Homer Williamns
43556,6,SAP,MIA,-10,A,John Max
43557,7,SAP,FLL,-20,A,Jilles Vlank
43560,10,HAJ,SAP,50,B,Maximilian Call
43561,2,HHN,HAJ,-20,A,Muilin Mills
43562,9,SAP,HHN,40,B,Gianni Falk
43563,6,TEG,SAP,0,A,Hous Hih
43564,1,HAJ,TEG,-20,A,Cho Ming
43565,3,HHN,HAJ,-20,A,Chao Ma
43566,4,SAP,HHN,-30,A,Jos� Perez
43567,4,MIA,SAP,-30,A,Davie Mixal
43568,4,FLL,MIA,20,A,Filg Gills
43556,4,SAP,FLL,0,A,John Max
43557,8,MIA,SAP,-50,A,Jilles Vlank
43558,9,FLL,MIA,40,B,Jorge Mej�a
43559,10,TEG,FLL,50,B,David Colindres
43560,7,HAJ,TEG,-90,A,Maximilian Call
43561,8,MIA,HAJ,-20,A,Muilin Mills
43562,9,FLL,MIA,-50,A,Gianni Falk
43580,3,SAP,FLL,90,C,Peter Mariner
43579,7,HAJ,SAP,10,A,Jonh Pierson
43580,6,HHN,HAJ,-20,A,Peter Mariner
43581,2,SAP,HHN,0,A,Homer Williamns
43556,7,TEG,SAP,30,A,John Max
43557,7,HAJ,TEG,-20,A,Jilles Vlank
43558,2,HHN,HAJ,-60,A,Jorge Mej�a
43559,7,SAP,HHN,70,C,David Colindres
43560,10,MIA,SAP,0,A,Maximilian Call
43561,10,FLL,MIA,0,A,Muilin Mills
43562,5,SAP,FLL,-30,A,Gianni Falk
43563,6,MIA,SAP,0,A,Hous Hih
43564,9,FLL,MIA,0,A,Cho Ming
43565,4,TEG,FLL,-20,A,Chao Ma
43566,8,HAJ,TEG,-80,A,Jos� Perez
43567,4,MIA,HAJ,-60,A,Davie Mixal
43568,1,FLL,MIA,-30,A,Filg Gills
43556,5,SAP,FLL,-40,A,John Max
43559,10,HAJ,SAP,50,B,David Colindres
43560,1,HHN,HAJ,-50,A,Maximilian Call
43561,9,SAP,HHN,10,A,Muilin Mills
43562,6,TEG,SAP,20,A,Gianni Falk
43580,8,HAJ,TEG,-40,A,Peter Mariner
43581,10,HHN,HAJ,-20,A,Homer Williamns
43576,4,SAP,MIA,60,C,Joe Hulson
43579,10,MIA,FLL,50,B,Jonh Pierson
43580,5,FLL,SAP,10,A,Peter Mariner
43556,5,MIA,SAP,20,A,John Max
43557,4,FLL,HAJ,-60,A,Jilles Vlank
43558,1,TEG,HHN,0,A,Jorge Mej�a
43559,6,HAJ,SAP,10,A,David Colindres
43560,6,MIA,TEG,-10,A,Maximilian Call
43561,3,FLL,HAJ,0,A,Muilin Mills
43562,2,SAP,HHN,30,A,Gianni Falk
43564,10,SAP,MIA,70,C,Cho Ming
43565,5,HAJ,FLL,0,A,Chao Ma
43566,1,HHN,SAP,-70,A,Jos� Perez
43567,5,SAP,MIA,0,A,Davie Mixal
43568,2,TEG,FLL,-10,A,Filg Gills
43556,7,HAJ,TEG,70,C,John Max
43557,7,HHN,HAJ,0,A,Jilles Vlank
43558,1,SAP,MIA,-10,A,Jorge Mej�a
43559,5,MIA,FLL,70,C,David Colindres
43560,8,FLL,SAP,-60,A,Maximilian Call
43562,9,MIA,SAP,50,B,Gianni Falk
43580,3,FLL,HAJ,-20,A,Peter Mariner
43581,1,TEG,HHN,20,A,Homer Williamns
43576,1,HAJ,SAP,0,A,Joe Hulson
43579,1,MIA,TEG,60,C,Jonh Pierson
43580,5,FLL,HAJ,-10,A,Peter Mariner
43581,7,SAP,HHN,50,B,Homer Williamns
43557,5,SAP,MIA,20,A,Jilles Vlank
43558,8,HAJ,FLL,-20,A,Jorge Mej�a
43559,4,HHN,SAP,60,C,David Colindres
43560,3,SAP,MIA,-10,A,Maximilian Call
43561,6,TEG,FLL,80,C,Muilin Mills
43562,7,HAJ,TEG,-10,A,Gianni Falk
43563,4,HHN,HAJ,-70,A,Hous Hih
43564,4,SAP,MIA,50,B,Cho Ming
43565,5,MIA,FLL,40,B,Chao Ma
43566,6,FLL,SAP,0,A,Jos� Perez
43568,9,MIA,SAP,-60,A,Filg Gills
43556,2,FLL,HAJ,-10,A,John Max
43557,8,TEG,HHN,-20,A,Jilles Vlank
43558,6,HAJ,SAP,-80,A,Jorge Mej�a
43559,6,MIA,TEG,0,A,David Colindres
43560,9,FLL,HAJ,10,A,Maximilian Call
43561,1,SAP,MIA,-10,A,Muilin Mills
43562,10,SAP,FLL,-40,A,Gianni Falk
43581,4,HAJ,SAP,20,A,Homer Williamns
43576,2,HHN,SAP,0,A,Joe Hulson
43579,5,SAP,HAJ,10,A,Jonh Pierson
43580,4,TEG,HHN,-40,A,Peter Mariner
43581,2,HAJ,SAP,0,A,Homer Williamns
43556,8,HHN,TEG,0,A,John Max
43557,2,SAP,HAJ,30,A,Jilles Vlank
43558,6,MIA,HHN,-40,A,Jorge Mej�a
43559,9,FLL,SAP,50,B,David Colindres
43560,6,SAP,MIA,-10,A,Maximilian Call
43561,6,MIA,FLL,0,A,Muilin Mills
